measure_utc_dt	measure_date	measure_utc_time	g_0	g_41	d_0	b	w_vel	w_dir	helios_t_amb	v_viento	d_viento	temp_air	rad_dir	ele_sol	ori_sol	top	mid	bot	cal_top	cal_mid	cal_bot	pres_aire
2019-03-31 21:30:00+02:00	2019-03-31	21:30:00+02:00	0.0	0.0	0.0	0.03	0.0	-0.17	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:31:00+02:00	2019-03-31	21:31:00+02:00	0.0	0.0	0.0	0.11	0.0	0.34	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:32:00+02:00	2019-03-31	21:32:00+02:00	0.0	0.0	0.0	0.0	0.0	0.15	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:33:00+02:00	2019-03-31	21:33:00+02:00	0.0	0.0	0.0	0.01	0.0	0.54	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:34:00+02:00	2019-03-31	21:34:00+02:00	0.0	0.0	0.0	0.0	0.0	-0.11	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:35:00+02:00	2019-03-31	21:35:00+02:00	0.0	0.0	0.0	0.0	0.0	-0.18	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:36:00+02:00	2019-03-31	21:36:00+02:00	0.0	0.0	0.0	0.0	0.0	0.06	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:37:00+02:00	2019-03-31	21:37:00+02:00	0.0	0.0	0.0	0.0	0.0	0.09	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:38:00+02:00	2019-03-31	21:38:00+02:00	0.0	0.0	0.0	0.0	0.0	0.17	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:39:00+02:00	2019-03-31	21:39:00+02:00	0.0	0.0	0.0	0.0	0.0	-0.24	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:40:00+02:00	2019-03-31	21:40:00+02:00	0.0	0.0	0.0	0.0	0.0	0.17	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:41:00+02:00	2019-03-31	21:41:00+02:00	0.0	0.0	0.0	0.0	0.0	0.45	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:42:00+02:00	2019-03-31	21:42:00+02:00	0.0	0.0	0.0	0.0	0.0	0.34	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:43:00+02:00	2019-03-31	21:43:00+02:00	0.0	0.0	0.0	0.0	0.0	0.58	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:44:00+02:00	2019-03-31	21:44:00+02:00	0.0	0.0	0.0	0.0	0.0	0.36	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:45:00+02:00	2019-03-31	21:45:00+02:00	0.0	0.0	0.0	0.0	0.0	0.35	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:46:00+02:00	2019-03-31	21:46:00+02:00	0.0	0.0	0.0	0.03	0.0	-0.15	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2019-03-31 21:47:00+02:00	2019-03-31	21:47:00+02:00	0.0	0.0	0.0	0.03	0.0	-0.06	-37.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
